city,state,population
New Haven ,CT,"123,669"
New Iberia ,LA,"32,959"
New Lenox,IL,"24,137"
New London ,CT,"25,891"
New Orleans ,LA,"311,853"
New Rochelle ,NY,"74,115"
New Smyrna Beach ,FL,"23,325"
New York ,NY,"8,363,710"
Newark ,NJ,"278,980"
Newburgh ,NY,"28,101"
Newnan ,GA,"30,474"
Newport ,RI,"23,523"
Newport Beach ,CA,"79,661"
Newport News ,VA,"179,614"
Newton ,MA,"82,139"
Niagara Falls ,NY,"51,345"
Nicholasville ,KY,"26,444"
Niles,IL,"28,666"
Noblesville ,IN,"42,155"
Norco ,CA,"26,659"
Norfolk ,VA,"234,220"
Normal,IL,"52,056"
Norman ,OK,"106,957"
Norristown,PA,"31,843"
North Charleston ,SC,"94,407"
North Chicago ,IL,"32,608"
North Las Vegas ,NV,"217,253"
North Lauderdale ,FL,"41,772"
North Little Rock ,AR,"59,430"
North Miami ,FL,"55,908"
North Miami Beach ,FL,"37,997"
North Olmsted ,OH,"31,319"
North Platte ,NE,"24,107"
North Port ,FL,"54,907"
North Richland Hills ,TX,"65,078"
North Ridgeville ,OH,"28,153"
North Royalton ,OH,"29,331"
North Tonawanda ,NY,"31,222"
Northampton ,MA,"28,379"
Northbrook,IL,"33,936"
Northglenn ,CO,"33,697"
Northport ,AL,"23,118"
Norton Shores ,MI,"23,307"
Norwalk ,CA,"102,982"
Norwich ,CT,"36,388"
Novato ,CA,"52,785"
Novi ,MI,"54,054"
Oak Creek ,WI,"33,482"
Oak Forest ,IL,"27,740"
Oak Lawn,IL,"53,244"
Oak Park,IL,"49,557"
Oak Park ,MI,"30,547"
Oak Ridge ,TN,"27,677"
Oakdale ,MN,"27,034"
Oakland ,CA,"404,155"
Oakland Park ,FL,"42,293"
Oakley ,CA,"32,035"
Ocala ,FL,"54,801"
Oceanside ,CA,"169,684"
